cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ES0553000000001456NC;01/07/2022;1:00;0,478;Estimada;0
ES0553000000001456NC;01/07/2022;2:00;0,195;Estimada;0
ES0553000000001456NC;01/07/2022;3:00;0,092;Estimada;0
ES0553000000001456NC;01/07/2022;4:00;0,09;Estimada;0
ES0553000000001456NC;01/07/2022;5:00;0,093;Estimada;0
ES0553000000001456NC;01/07/2022;6:00;0,138;Estimada;0
ES0553000000001456NC;01/07/2022;7:00;0,153;Estimada;0
ES0553000000001456NC;01/07/2022;8:00;0,119;Estimada;0
ES0553000000001456NC;01/07/2022;9:00;0,129;Estimada;0
ES0553000000001456NC;01/07/2022;10:00;0,186;Estimada;0
ES0553000000001456NC;01/07/2022;11:00;0,167;Estimada;0
ES0553000000001456NC;01/07/2022;12:00;0,133;Estimada;0
ES0553000000001456NC;01/07/2022;13:00;0,127;Estimada;0
ES0553000000001456NC;01/07/2022;14:00;0,346;Estimada;0
ES0553000000001456NC;01/07/2022;15:00;0,117;Estimada;0
ES0553000000001456NC;01/07/2022;16:00;0,153;Estimada;0
ES0553000000001456NC;01/07/2022;17:00;0,205;Estimada;0
ES0553000000001456NC;01/07/2022;18:00;0,129;Estimada;0
ES0553000000001456NC;01/07/2022;19:00;0,117;Estimada;0
ES0553000000001456NC;01/07/2022;20:00;0,187;Estimada;0
ES0553000000001456NC;01/07/2022;21:00;0,358;Estimada;0
ES0553000000001456NC;01/07/2022;22:00;0,149;Estimada;0
ES0553000000001456NC;01/07/2022;23:00;0,123;Estimada;0
ES0553000000001456NC;01/07/2022;24:00:00;0,155;Estimada;0
ES0553000000001456NC;02/07/2022;1:00;0,607;Estimada;0
ES0553000000001456NC;02/07/2022;2:00;0,325;Estimada;0
ES0553000000001456NC;02/07/2022;3:00;0,12;Estimada;0
ES0553000000001456NC;02/07/2022;4:00;0,155;Estimada;0
ES0553000000001456NC;02/07/2022;5:00;0,087;Estimada;0
ES0553000000001456NC;02/07/2022;6:00;0,086;Estimada;0
ES0553000000001456NC;02/07/2022;7:00;0,146;Estimada;0
ES0553000000001456NC;02/07/2022;8:00;0,169;Estimada;0
ES0553000000001456NC;02/07/2022;9:00;0,408;Estimada;0
ES0553000000001456NC;02/07/2022;10:00;0,263;Estimada;0
ES0553000000001456NC;02/07/2022;11:00;0,226;Estimada;0
ES0553000000001456NC;02/07/2022;12:00;0,162;Estimada;0
ES0553000000001456NC;02/07/2022;13:00;0,168;Estimada;0
ES0553000000001456NC;02/07/2022;14:00;0,347;Estimada;0
ES0553000000001456NC;02/07/2022;15:00;0,131;Estimada;0
ES0553000000001456NC;02/07/2022;16:00;0,121;Estimada;0
ES0553000000001456NC;02/07/2022;17:00;0,119;Estimada;0
ES0553000000001456NC;02/07/2022;18:00;0,117;Estimada;0
ES0553000000001456NC;02/07/2022;19:00;0,168;Estimada;0
ES0553000000001456NC;02/07/2022;20:00;0,117;Estimada;0
ES0553000000001456NC;02/07/2022;21:00;0,391;Estimada;0
ES0553000000001456NC;02/07/2022;22:00;0,131;Estimada;0
ES0553000000001456NC;02/07/2022;23:00;0,125;Estimada;0
ES0553000000001456NC;02/07/2022;24:00:00;0,117;Estimada;0
ES0553000000001456NC;03/07/2022;1:00;0,231;Estimada;0
ES0553000000001456NC;03/07/2022;2:00;0,128;Estimada;0
ES0553000000001456NC;03/07/2022;3:00;0,091;Estimada;0
ES0553000000001456NC;03/07/2022;4:00;0,094;Estimada;0
ES0553000000001456NC;03/07/2022;5:00;0,093;Estimada;0
ES0553000000001456NC;03/07/2022;6:00;0,134;Estimada;0
ES0553000000001456NC;03/07/2022;7:00;0,156;Estimada;0
ES0553000000001456NC;03/07/2022;8:00;0,116;Estimada;0
ES0553000000001456NC;03/07/2022;9:00;0,371;Estimada;0
ES0553000000001456NC;03/07/2022;10:00;0,732;Estimada;0
ES0553000000001456NC;03/07/2022;11:00;0,648;Estimada;0
ES0553000000001456NC;03/07/2022;12:00;0,233;Estimada;0
ES0553000000001456NC;03/07/2022;13:00;0,166;Estimada;0
ES0553000000001456NC;03/07/2022;14:00;0,384;Estimada;0
ES0553000000001456NC;03/07/2022;15:00;0,121;Estimada;0
ES0553000000001456NC;03/07/2022;16:00;0,116;Estimada;0
ES0553000000001456NC;03/07/2022;17:00;0,191;Estimada;0
ES0553000000001456NC;03/07/2022;18:00;0,216;Estimada;0
ES0553000000001456NC;03/07/2022;19:00;0,7;Estimada;0
ES0553000000001456NC;03/07/2022;20:00;0,55;Estimada;0
ES0553000000001456NC;03/07/2022;21:00;0,25;Estimada;0
ES0553000000001456NC;03/07/2022;22:00;0,131;Estimada;0
ES0553000000001456NC;03/07/2022;23:00;0,125;Estimada;0
ES0553000000001456NC;03/07/2022;24:00:00;0,123;Estimada;0
ES0553000000001456NC;04/07/2022;1:00;0,11;Estimada;0
ES0553000000001456NC;04/07/2022;2:00;0,18;Estimada;0
ES0553000000001456NC;04/07/2022;3:00;0,127;Estimada;0
ES0553000000001456NC;04/07/2022;4:00;0,124;Estimada;0
ES0553000000001456NC;04/07/2022;5:00;0,124;Estimada;0
ES0553000000001456NC;04/07/2022;6:00;0,122;Estimada;0
ES0553000000001456NC;04/07/2022;7:00;0,098;Estimada;0
ES0553000000001456NC;04/07/2022;8:00;0,223;Estimada;0
ES0553000000001456NC;04/07/2022;9:00;0,13;Estimada;0
ES0553000000001456NC;04/07/2022;10:00;0,17;Estimada;0
ES0553000000001456NC;04/07/2022;11:00;0,121;Estimada;0
ES0553000000001456NC;04/07/2022;12:00;0,137;Estimada;0
ES0553000000001456NC;04/07/2022;13:00;0,12;Estimada;0
ES0553000000001456NC;04/07/2022;14:00;0,117;Estimada;0
ES0553000000001456NC;04/07/2022;15:00;0,339;Estimada;0
ES0553000000001456NC;04/07/2022;16:00;0,119;Estimada;0
ES0553000000001456NC;04/07/2022;17:00;0,101;Estimada;0
ES0553000000001456NC;04/07/2022;18:00;0,105;Estimada;0
ES0553000000001456NC;04/07/2022;19:00;0,133;Estimada;0
ES0553000000001456NC;04/07/2022;20:00;0,122;Estimada;0
ES0553000000001456NC;04/07/2022;21:00;0,116;Estimada;0
ES0553000000001456NC;04/07/2022;22:00;0,12;Estimada;0
ES0553000000001456NC;04/07/2022;23:00;0,224;Estimada;0
ES0553000000001456NC;04/07/2022;24:00:00;0,183;Estimada;0
ES0553000000001456NC;05/07/2022;1:00;0,545;Estimada;0
ES0553000000001456NC;05/07/2022;2:00;0,298;Estimada;0
ES0553000000001456NC;05/07/2022;3:00;0,148;Estimada;0
ES0553000000001456NC;05/07/2022;4:00;0,105;Estimada;0
ES0553000000001456NC;05/07/2022;5:00;0,106;Estimada;0
ES0553000000001456NC;05/07/2022;6:00;0,096;Estimada;0
ES0553000000001456NC;05/07/2022;7:00;0,201;Estimada;0
ES0553000000001456NC;05/07/2022;8:00;0,273;Estimada;0
ES0553000000001456NC;05/07/2022;9:00;0,083;Estimada;0
ES0553000000001456NC;05/07/2022;10:00;0,1;Estimada;0
ES0553000000001456NC;05/07/2022;11:00;0,083;Estimada;0
ES0553000000001456NC;05/07/2022;12:00;0,091;Estimada;0
ES0553000000001456NC;05/07/2022;13:00;0,112;Estimada;0
ES0553000000001456NC;05/07/2022;14:00;0,192;Estimada;0
ES0553000000001456NC;05/07/2022;15:00;0,128;Estimada;0
ES0553000000001456NC;05/07/2022;16:00;0,105;Estimada;0
ES0553000000001456NC;05/07/2022;17:00;0,084;Estimada;0
ES0553000000001456NC;05/07/2022;18:00;0,331;Estimada;0
ES0553000000001456NC;05/07/2022;19:00;0,116;Estimada;0
ES0553000000001456NC;05/07/2022;20:00;0,114;Estimada;0
ES0553000000001456NC;05/07/2022;21:00;0,114;Estimada;0
ES0553000000001456NC;05/07/2022;22:00;0,148;Estimada;0
ES0553000000001456NC;05/07/2022;23:00;0,139;Estimada;0
ES0553000000001456NC;05/07/2022;24:00:00;0,172;Estimada;0
ES0553000000001456NC;06/07/2022;1:00;0,347;Estimada;0
ES0553000000001456NC;06/07/2022;2:00;0,154;Estimada;0
ES0553000000001456NC;06/07/2022;3:00;0,101;Estimada;0
ES0553000000001456NC;06/07/2022;4:00;0,102;Estimada;0
ES0553000000001456NC;06/07/2022;5:00;0,215;Estimada;0
ES0553000000001456NC;06/07/2022;6:00;0,111;Estimada;0
ES0553000000001456NC;06/07/2022;7:00;0,263;Estimada;0
ES0553000000001456NC;06/07/2022;8:00;0,207;Estimada;0
ES0553000000001456NC;06/07/2022;9:00;0,082;Estimada;0
ES0553000000001456NC;06/07/2022;10:00;0,081;Estimada;0
ES0553000000001456NC;06/07/2022;11:00;0,079;Estimada;0
ES0553000000001456NC;06/07/2022;12:00;0,089;Estimada;0
ES0553000000001456NC;06/07/2022;13:00;0,091;Estimada;0
ES0553000000001456NC;06/07/2022;14:00;0,108;Estimada;0
ES0553000000001456NC;06/07/2022;15:00;0,122;Estimada;0
ES0553000000001456NC;06/07/2022;16:00;0,112;Estimada;0
ES0553000000001456NC;06/07/2022;17:00;0,111;Estimada;0
ES0553000000001456NC;06/07/2022;18:00;0,11;Estimada;0
ES0553000000001456NC;06/07/2022;19:00;0,123;Estimada;0
ES0553000000001456NC;06/07/2022;20:00;0,258;Estimada;0
ES0553000000001456NC;06/07/2022;21:00;0,176;Estimada;0
ES0553000000001456NC;06/07/2022;22:00;0,34;Estimada;0
ES0553000000001456NC;06/07/2022;23:00;0,142;Estimada;0
ES0553000000001456NC;06/07/2022;24:00:00;0,177;Estimada;0
ES0553000000001456NC;07/07/2022;1:00;0,287;Estimada;0
ES0553000000001456NC;07/07/2022;2:00;0,157;Estimada;0
ES0553000000001456NC;07/07/2022;3:00;0,147;Estimada;0
ES0553000000001456NC;07/07/2022;4:00;0,1;Estimada;0
ES0553000000001456NC;07/07/2022;5:00;0,103;Estimada;0
ES0553000000001456NC;07/07/2022;6:00;0,13;Estimada;0
ES0553000000001456NC;07/07/2022;7:00;0,275;Estimada;0
ES0553000000001456NC;07/07/2022;8:00;0,221;Estimada;0
ES0553000000001456NC;07/07/2022;9:00;0,085;Estimada;0
ES0553000000001456NC;07/07/2022;10:00;0,078;Estimada;0
ES0553000000001456NC;07/07/2022;11:00;0,076;Estimada;0
ES0553000000001456NC;07/07/2022;12:00;0,162;Estimada;0
ES0553000000001456NC;07/07/2022;13:00;0,122;Estimada;0
ES0553000000001456NC;07/07/2022;14:00;0,166;Estimada;0
ES0553000000001456NC;07/07/2022;15:00;0,131;Estimada;0
ES0553000000001456NC;07/07/2022;16:00;0,111;Estimada;0
ES0553000000001456NC;07/07/2022;17:00;0,11;Estimada;0
ES0553000000001456NC;07/07/2022;18:00;0,095;Estimada;0
ES0553000000001456NC;07/07/2022;19:00;0,109;Estimada;0
ES0553000000001456NC;07/07/2022;20:00;0,11;Estimada;0
ES0553000000001456NC;07/07/2022;21:00;0,334;Estimada;0
ES0553000000001456NC;07/07/2022;22:00;0,123;Estimada;0
ES0553000000001456NC;07/07/2022;23:00;0,139;Estimada;0
ES0553000000001456NC;07/07/2022;24:00:00;0,166;Estimada;0
ES0553000000001456NC;08/07/2022;1:00;0,407;Estimada;0
ES0553000000001456NC;08/07/2022;2:00;0,194;Estimada;0
ES0553000000001456NC;08/07/2022;3:00;0,169;Estimada;0
ES0553000000001456NC;08/07/2022;4:00;0,167;Estimada;0
ES0553000000001456NC;08/07/2022;5:00;0,099;Estimada;0
ES0553000000001456NC;08/07/2022;6:00;0,09;Estimada;0
ES0553000000001456NC;08/07/2022;7:00;0,359;Estimada;0
ES0553000000001456NC;08/07/2022;8:00;0,3;Estimada;0
ES0553000000001456NC;08/07/2022;9:00;0,122;Estimada;0
ES0553000000001456NC;08/07/2022;10:00;0,078;Estimada;0
ES0553000000001456NC;08/07/2022;11:00;0,079;Estimada;0
ES0553000000001456NC;08/07/2022;12:00;0,078;Estimada;0
ES0553000000001456NC;08/07/2022;13:00;0,076;Estimada;0
ES0553000000001456NC;08/07/2022;14:00;0,088;Estimada;0
ES0553000000001456NC;08/07/2022;15:00;0,116;Estimada;0
ES0553000000001456NC;08/07/2022;16:00;0,354;Estimada;0
ES0553000000001456NC;08/07/2022;17:00;0,109;Estimada;0
ES0553000000001456NC;08/07/2022;18:00;0,108;Estimada;0
ES0553000000001456NC;08/07/2022;19:00;0,107;Estimada;0
ES0553000000001456NC;08/07/2022;20:00;0,174;Estimada;0
ES0553000000001456NC;08/07/2022;21:00;0,381;Estimada;0
ES0553000000001456NC;08/07/2022;22:00;0,134;Estimada;0
ES0553000000001456NC;08/07/2022;23:00;0,14;Estimada;0
ES0553000000001456NC;08/07/2022;24:00:00;0,166;Estimada;0
ES0553000000001456NC;09/07/2022;1:00;0,357;Estimada;0
ES0553000000001456NC;09/07/2022;2:00;0,197;Estimada;0
ES0553000000001456NC;09/07/2022;3:00;0,096;Estimada;0
ES0553000000001456NC;09/07/2022;4:00;0,096;Estimada;0
ES0553000000001456NC;09/07/2022;5:00;0,144;Estimada;0
ES0553000000001456NC;09/07/2022;6:00;0,089;Estimada;0
ES0553000000001456NC;09/07/2022;7:00;0,33;Estimada;0
ES0553000000001456NC;09/07/2022;8:00;0,372;Estimada;0
ES0553000000001456NC;09/07/2022;9:00;0,204;Estimada;0
ES0553000000001456NC;09/07/2022;10:00;0,081;Estimada;0
ES0553000000001456NC;09/07/2022;11:00;0,08;Estimada;0
ES0553000000001456NC;09/07/2022;12:00;0,159;Estimada;0
ES0553000000001456NC;09/07/2022;13:00;0,144;Estimada;0
ES0553000000001456NC;09/07/2022;14:00;0,176;Estimada;0
ES0553000000001456NC;09/07/2022;15:00;0,285;Estimada;0
ES0553000000001456NC;09/07/2022;16:00;0,116;Estimada;0
