cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2021/01/01";"01:00";"0,101";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"02:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"03:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"04:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"05:00";"0,107";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"06:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"07:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"08:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"09:00";"0,102";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"10:00";"0,031";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"11:00";"0,030";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"12:00";"0,016";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"13:00";"0,105";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"14:00";"0,032";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"15:00";"0,031";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"16:00";"0,043";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"17:00";"0,095";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"18:00";"1,689";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"19:00";"0,068";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"20:00";"0,101";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"21:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"22:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"23:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/01";"24:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/02";"01:00";"0,110";Real;NULL
"ES0031406180691001QR0F";"2021/01/02";"02:00";"0,038";Real;NULL
