CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;18/09/2022;1;0,052;R
ES0031408520934026NH0F;18/09/2022;2;0,041;R
ES0031408520934026NH0F;18/09/2022;3;0,041;R
ES0031408520934026NH0F;18/09/2022;4;0,041;R
ES0031408520934026NH0F;18/09/2022;5;0,041;R
ES0031408520934026NH0F;18/09/2022;6;0,040;R
ES0031408520934026NH0F;18/09/2022;7;0,040;R
ES0031408520934026NH0F;18/09/2022;8;0,041;R
ES0031408520934026NH0F;18/09/2022;9;0,041;R
ES0031408520934026NH0F;18/09/2022;10;0,040;R
ES0031408520934026NH0F;18/09/2022;11;0,074;R
ES0031408520934026NH0F;18/09/2022;12;0,041;R
ES0031408520934026NH0F;18/09/2022;13;0,041;R
ES0031408520934026NH0F;18/09/2022;14;0,050;R
ES0031408520934026NH0F;18/09/2022;15;0,427;R
ES0031408520934026NH0F;18/09/2022;16;0,067;R
ES0031408520934026NH0F;18/09/2022;17;0,071;R
ES0031408520934026NH0F;18/09/2022;18;0,060;R
ES0031408520934026NH0F;18/09/2022;19;0,052;R
ES0031408520934026NH0F;18/09/2022;20;0,050;R
ES0031408520934026NH0F;18/09/2022;21;0,049;R
ES0031408520934026NH0F;18/09/2022;22;0,071;R
ES0031408520934026NH0F;18/09/2022;23;0,086;R
ES0031408520934026NH0F;18/09/2022;24;0,082;R
ES0031408520934026NH0F;19/09/2022;1;0,078;R
ES0031408520934026NH0F;19/09/2022;2;0,047;R
ES0031408520934026NH0F;19/09/2022;3;0,043;R
ES0031408520934026NH0F;19/09/2022;4;0,042;R
ES0031408520934026NH0F;19/09/2022;5;0,041;R
ES0031408520934026NH0F;19/09/2022;6;0,041;R
ES0031408520934026NH0F;19/09/2022;7;0,041;R
ES0031408520934026NH0F;19/09/2022;8;0,040;R
ES0031408520934026NH0F;19/09/2022;9;0,041;R
ES0031408520934026NH0F;19/09/2022;10;0,067;R
ES0031408520934026NH0F;19/09/2022;11;0,044;R
ES0031408520934026NH0F;19/09/2022;12;0,041;R
ES0031408520934026NH0F;19/09/2022;13;0,042;R
ES0031408520934026NH0F;19/09/2022;14;0,070;R
ES0031408520934026NH0F;19/09/2022;15;0,054;R
ES0031408520934026NH0F;19/09/2022;16;0,042;R
ES0031408520934026NH0F;19/09/2022;17;0,041;R
ES0031408520934026NH0F;19/09/2022;18;0,041;R
ES0031408520934026NH0F;19/09/2022;19;0,043;R
ES0031408520934026NH0F;19/09/2022;20;0,043;R
ES0031408520934026NH0F;19/09/2022;21;0,190;R
ES0031408520934026NH0F;19/09/2022;22;0,086;R
ES0031408520934026NH0F;19/09/2022;23;0,077;R
